Open time,Day,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,,spot,,basis,fundingRate,,,,,
1.57E+12,10/13/2019 9:00,8340.76,8345.38,8322.09,8337.1,1147.184,1.57E+12,9564914.323,2519,704.606,5875425.662,0,,8338.33,-1.230003735,0.999852488,0,0,1,-0.408617861,,
1.57E+12,10/13/2019 10:00,8337.1,8348.92,8327.5,8333.95,1062.626,1.57E+12,8858913.674,2317,500.673,4173891.937,0,,8333.45,0.499998667,1.000059999,0,0,1,-0.205095343,,
1.57E+12,10/13/2019 11:00,8334.03,8378.19,8331.36,8345.14,1574.934,1.57E+12,13147706.72,3452,677.154,5652764.836,0,,8347.32,-2.180002786,0.999738838,0,0,1,-0.520083442,,
1.57E+12,10/13/2019 12:00,8345.14,8440,8342.55,8391.28,3747.465,1.57E+12,31431694.9,6687,1920.766,16110670.8,0,,8393.07,-1.789998432,0.999786729,0,0,1,-0.473112935,,
1.57E+12,10/13/2019 13:00,8392.48,8435.05,8380.15,8408.75,1707.47,1.57E+12,14352201.58,3812,779.667,6553682.948,0,,8411.02,-2.269999722,0.999730116,0,0,1,-0.5286378,,
1.57E+12,10/13/2019 14:00,8408.13,8415.95,8360.31,8400.32,2184.871,1.57E+12,18326294.24,4671,965.773,8098693.421,0,,8400.96,-0.640001935,0.999923818,0,0,1,-0.338658865,,
1.57E+12,10/13/2019 15:00,8400.32,8412,8383.17,8401.39,1467.603,1.57E+12,12319936.75,3210,738,6195347.618,0,,8403.8,-2.409999745,0.999713225,0,0,1,-0.545204146,,
1.57E+12,10/13/2019 16:00,8401.39,8456,8397.65,8420.64,2383.529,1.57E+12,20084775.22,5062,1126.045,9489903.668,0,,8422.15,-1.509998851,0.999820711,0.0001,0,1,-0.439784089,,
1.57E+12,10/13/2019 17:00,8420.96,8440,8412.79,8421.99,1392.924,1.57E+12,11738148.5,2926,722.004,6083726.195,0,,8424.54,-2.549998739,0.999697313,0,0,1,-0.560810308,,
1.57E+12,10/13/2019 18:00,8421.63,8432.98,8415.34,8421.19,1074.163,1.57E+12,9048398.983,2415,272.528,2295411.186,0,,8424.34,-3.15000394,0.999626083,0,0,1,-0.630671226,,
1.57E+12,10/13/2019 19:00,8421.19,8430,8416.48,8430,1234.052,1.57E+12,10397489.6,1344,366.521,3088848.388,0,,8434.02,-4.019999727,0.999523359,0,0,1,-0.731420811,,
1.57E+12,10/13/2019 20:00,8430,8430,8137.3,8256.42,8931.606,1.57E+12,73815354.03,11198,4254.351,35139334.27,0,,8256.82,-0.400001645,0.999951555,0,0,1,-0.311454986,,
1.57E+12,10/13/2019 21:00,8254.62,8254.62,8219.7,8245.47,1599.156,1.57E+12,13177932.27,3123,633.498,5220131.768,0,,8248.31,-2.840000361,0.999655687,0,0,1,-0.601636232,,
1.57E+12,10/13/2019 22:00,8244.59,8289,8239.5,8276.51,1615.467,1.57E+12,13354778.56,3734,752.19,6217762.872,0,,8282.4,-5.890003913,0.999288853,0,0,1,-0.961419469,,
1.57E+12,10/13/2019 23:00,8279.56,8307.38,8267.63,8274.66,1567.975,1.57E+12,12988962.7,3406,638.12,5286414.564,0,,8275.01,-0.349999823,0.999957704,0,0,1,-0.305424174,,
1.57E+12,10/14/2019 0:00,8274.33,8274.33,8243.87,8271.22,1681.692,1.57E+12,13890540.47,3269,712.191,5881646.762,0,,8273.06,-1.840003002,0.999777591,0.0001,0,1,-0.482075297,,
1.57E+12,10/14/2019 1:00,8271.18,8290,8265.62,8285.69,1142.07,1.57E+12,9451528.045,2595,480.075,3972394.631,0,,8286.91,-1.21999889,0.99985278,0,0,1,-0.408331474,,
1.57E+12,10/14/2019 2:00,8285.68,8298,8277.06,8283.72,1060.944,1.57E+12,8791504.679,2545,330.701,2740513.698,0,,8286.66,-2.939999241,0.999645213,0,0,1,-0.611908915,,
1.57E+12,10/14/2019 3:00,8284.21,8300.22,8281,8286.51,1450.583,1.57E+12,12024804.5,2727,561.965,4658406.547,0,,8289.03,-2.519997744,0.999695984,0,0,1,-0.562113763,,
1.57E+12,10/14/2019 4:00,8286.62,8286.9,8276.01,8276.87,968.541,1.57E+12,8020379.696,2200,206.185,1707397.912,0,,8280,-3.12999732,0.999621981,0,0,1,-0.634694383,,
1.57E+12,10/14/2019 5:00,8277.03,8321.65,8272,8308.13,1800.691,1.57E+12,14945991.42,3538,856.235,7107624.771,0,,8311.32,-3.190000974,0.999616186,0,0,1,-0.640378,,
1.57E+12,10/14/2019 6:00,8308.04,8329.38,8296.46,8313.92,1130.947,1.57E+12,9398267.326,2490,292.679,2432538.107,0,,8319.35,-5.429998148,0.999347305,0,0,1,-0.904090951,,
1.57E+12,10/14/2019 7:00,8314,8315,8282,8302.17,1663.806,1.57E+12,13811038.84,2119,786.353,6526226.309,0,,8305.76,-3.589998645,0.99956777,0,0,1,-0.687863416,,
1.57E+12,10/14/2019 8:00,8302.13,8314.63,8294,8302.34,946.158,1.57E+12,7855474.534,2333,399.787,3318892.136,0,,8308.18,-5.840002502,0.999297078,0.0001,0,1,-0.953352559,,
1.57E+12,10/14/2019 9:00,8303,8320.5,8286.6,8296.84,1832.485,1.57E+12,15212678.77,3564,943.314,7830708.111,0,,8299.99,-3.150003905,0.999620481,0,0,1,-0.636165552,,
